nome,cpf,endereco,plano
Srta. Manuella Ferreira,20369814533,"Viaduto Rocha, 1, Jardim Guanabara, São Paulo, SP, Brasil",Básico
Sr. Igor Casa Grande,27139580405,"Loteamento Maria Júlia da Rocha, 68, Copacabana, São Paulo, SP, Brasil",Prata
Anna Liz Caldeira,84231596042,"Estação da Rocha, 16, Belvedere, São Paulo, SP, Brasil",Básico
Antônio Gonçalves,19237465025,"Praça de da Rosa, 41, Paraíso, São Paulo, SP, Brasil",Ouro
Maria Eduarda Porto,80639721559,"Lago Maria Julia Borges, 51, Camponesa 2ª Seção, São Paulo, SP, Brasil",Ouro
Daniela Vieira,76283510426,"Rua João Miguel Fogaça, 81, Vila Rica, São Paulo, SP, Brasil",Ouro
Juan Abreu,79012853460,"Recanto Francisco Rocha, 93, Vila Santo Antônio, São Paulo, SP, Brasil",Básico
Lara Pires,01459628306,"Colônia Thiago Fogaça, 23, Aparecida 7ª Seção, São Paulo, SP, Brasil",Básico
João das Neves,85147906258,"Rua João Felipe Oliveira, 238, Nova Cachoeirinha, São Paulo, SP, Brasil",Bronze
Ísis Guerra,49728150601,"Passarela Maria Helena Carvalho, 845, Vila Piratininga, São Paulo, SP, Brasil",Bronze
Helena Mendes,78539061457,"Residencial de Aragão, 630, Pongelupe, São Paulo, SP, Brasil",Bronze
Alexia Moura,19602745380,"Vereda Ana Siqueira, 52, Custodinha, São Paulo, SP, Brasil",Diamante
Pedro Henrique Marques,56273914052,"Largo de Cardoso, 82, Maravilha, São Paulo, SP, Brasil",Ouro
Mariane Mendonça,63871405957,"Vereda Barros, 15, Vila Piratininga, São Paulo, SP, Brasil",Diamante
Emanuella da Conceição,94158267382,"Vereda Sampaio, 886, Santa Cecilia, São Paulo, SP, Brasil",Bronze
Renan Cunha,54076129849,"Aeroporto de Carvalho, 7, Vila Ipiranga, São Paulo, SP, Brasil",Ouro
Miguel Novais,37924051643,"Quadra de Duarte, 90, Atila De Paiva, São Paulo, SP, Brasil",Diamante
Léo Barros,38516247937,"Recanto Catarina Silva, 50, João Pinheiro, São Paulo, SP, Brasil",Diamante
Ana Sophia Albuquerque,79803541684,"Chácara da Costa, 3, Nova Cintra, São Paulo, SP, Brasil",Ouro
Pedro Lucas Pimenta,16809537295,"Morro Antonella Lopes, 9, São Luiz, São Paulo, SP, Brasil",Básico
Vitor Hugo Viana,34786921050,"Condomínio Pimenta, 3, Vila Paquetá, São Paulo, SP, Brasil",Ouro
Isadora Cunha,40678532117,"Travessa Fogaça, 58, Estrela Do Oriente, São Paulo, SP, Brasil",Diamante
Srta. Ana Luiza Moreira,45328769074,"Aeroporto Novaes, 155, Xodo-Marize, São Paulo, SP, Brasil",Básico
Miguel Cassiano,28176350940,"Parque Fogaça, 892, Mangabeiras, São Paulo, SP, Brasil",Ouro
Apollo Moura,95732018441,"Residencial de Sousa, 68, Vila Minaslandia, São Paulo, SP, Brasil",Prata
José Pedro Carvalho,96382570400,"Largo Silveira, 85, Vila Fumec, São Paulo, SP, Brasil",Ouro
Dra. Heloisa da Luz,52408769329,"Alameda Mariane Pires, 1, Gameleira, São Paulo, SP, Brasil",Diamante
Anthony Gabriel Câmara,51029387460,"Distrito Elisa das Neves, 75, Mineirão, São Paulo, SP, Brasil",Diamante
Nicolas da Luz,89760451220,"Aeroporto Montenegro, 99, Grajaú, São Paulo, SP, Brasil",Ouro
Dra. Clara Barros,53210647925,"Trevo Gustavo Henrique Pinto, 12, Granja Werneck, São Paulo, SP, Brasil",Bronze
Dr. Apollo Pires,07126839413,"Passarela Fernandes, 77, Alpes, São Paulo, SP, Brasil",Ouro
Vinícius da Paz,87064523965,"Passarela Isaque Guerra, 17, Alto Caiçaras, São Paulo, SP, Brasil",Bronze
Arthur Gabriel da Cunha,94368521773,"Condomínio Nunes, 93, Vila Ipiranga, São Paulo, SP, Brasil",Ouro
Sr. Eduardo Farias,09276541306,"Trevo Lorena Cavalcante, 3, Solimoes, São Paulo, SP, Brasil",Diamante
Pedro Miguel Cardoso,50796218340,"Estação Sofia Cavalcante, 3, Tiradentes, São Paulo, SP, Brasil",Básico
Thiago Pires,86927501401,"Setor Sara Novaes, 45, Vila Nossa Senhora Do Rosário, São Paulo, SP, Brasil",Básico
Cecília Abreu,82693057400,"Núcleo Moura, 63, Vila Betânia, São Paulo, SP, Brasil",Básico
Sra. Allana Siqueira,39418057620,"Colônia de Correia, 27, Coração Eucarístico, São Paulo, SP, Brasil",Básico
Maria Laura da Mata,46592078111,"Jardim Costa, 76, Vila São João Batista, São Paulo, SP, Brasil",Básico
Maria Julia Sampaio,07564128976,"Recanto Rebeca Carvalho, 2, Serrano, São Paulo, SP, Brasil",Básico
Dr. André Azevedo,31702658490,"Ladeira de Jesus, 39, Nossa Senhora Da Conceição, São Paulo, SP, Brasil",Diamante
Thomas Araújo,29835047197,"Morro Pacheco, 2, Senhor Dos Passos, São Paulo, SP, Brasil",Bronze
João Costa,45962730143,"Distrito de Andrade, 128, Luxemburgo, São Paulo, SP, Brasil",Básico
Sr. Gael Ramos,73941258079,"Chácara de Moreira, 20, Califórnia, São Paulo, SP, Brasil",Diamante
Maria Nunes,75642013980,"Conjunto Almeida, 49, Atila De Paiva, São Paulo, SP, Brasil",Bronze
Ana Liz Sampaio,46095127858,"Praia Fogaça, 594, Serra Verde, São Paulo, SP, Brasil",Diamante
Maria Sophia Cirino,07413928523,"Morro Almeida, 16, Laranjeiras, São Paulo, SP, Brasil",Básico
Sabrina Melo,10672843978,"Colônia Maria Julia Andrade, 58, Aparecida 7ª Seção, São Paulo, SP, Brasil",Prata
Marcos Vinicius Fernandes,28916547300,"Recanto Pires, 40, Gameleira, São Paulo, SP, Brasil",Básico
Larissa Farias,23516847026,"Travessa Apollo Castro, 306, Confisco, São Paulo, SP, Brasil",Diamante
Apollo Duarte,80976415348,"Pátio Lopes, 353, Marieta 2ª Seção, São Paulo, SP, Brasil",Prata
Helena Nascimento,61234708507,"Recanto Garcia, 46, Vila Coqueiral, São Paulo, SP, Brasil",Básico
Maria Laura Pacheco,14872605985,"Ladeira Aparecida, 256, São João Batista, São Paulo, SP, Brasil",Básico
Diego Silva,60953782140,"Quadra de Castro, 85, Nova Cachoeirinha, São Paulo, SP, Brasil",Básico
João Miguel Teixeira,81529634024,"Jardim Cavalcanti, 754, Vila Califórnia, São Paulo, SP, Brasil",Prata
João Vitor Novaes,60923178503,"Vale Fogaça, 70, Teixeira Dias, São Paulo, SP, Brasil",Ouro
Nicole Barbosa,16298540776,"Conjunto de Monteiro, 59, Vila Nova Dos Milionarios, São Paulo, SP, Brasil",Diamante
Sr. Nicolas Vargas,42579813691,"Parque Ferreira, 97, Jatobá, São Paulo, SP, Brasil",Diamante
Maria Luísa Brito,29046578356,"Via de Pereira, 314, Minas Brasil, São Paulo, SP, Brasil",Bronze
Arthur Miguel Albuquerque,15720364943,"Residencial de Vasconcelos, 92, São Tomaz, São Paulo, SP, Brasil",Prata
Thomas Cavalcante,02645138780,"Alameda João Felipe Gomes, 17, Silveira, São Paulo, SP, Brasil",Diamante
Aurora Ramos,96514308775,"Rodovia Mariane Novaes, 57, Conjunto Serra Verde, São Paulo, SP, Brasil",Básico
Vitor Hugo Fonseca,24930561752,"Chácara de da Luz, 23, Jardim Leblon, São Paulo, SP, Brasil",Ouro
Luiz Miguel Brito,20946183589,"Vila de Sá, 871, Senhor Dos Passos, São Paulo, SP, Brasil",Básico
Dr. Calebe Rodrigues,03872519603,"Rodovia Carolina Borges, 5, Suzana, São Paulo, SP, Brasil",Básico
Heloisa Sousa,56217839482,"Parque José Pedro Vasconcelos, 7, Maria Helena, São Paulo, SP, Brasil",Básico
Olivia da Conceição,59627380121,"Condomínio Maitê Cassiano, 33, Coração Eucarístico, São Paulo, SP, Brasil",Ouro
Dr. Ian Camargo,69743812555,"Lagoa de Mendonça, 95, Vila Jardim Leblon, São Paulo, SP, Brasil",Ouro
Caleb Melo,56387041910,"Estrada Beatriz Cavalcanti, 3, Vila Vista Alegre, São Paulo, SP, Brasil",Bronze
Sra. Ana da Conceição,09648152306,"Quadra Costa, 9, São Lucas, São Paulo, SP, Brasil",Bronze
Maria Vitória Azevedo,82317540671,"Parque Teixeira, 5, Álvaro Camargos, São Paulo, SP, Brasil",Básico
Manuella Santos,59781406348,"Colônia de da Mata, 3, Vila Atila De Paiva, São Paulo, SP, Brasil",Prata
Catarina Garcia,35974802683,"Recanto de Campos, 377, Penha, São Paulo, SP, Brasil",Prata
Maitê Cardoso,64908527130,"Morro Mendes, 80, Vila Nova Paraíso, São Paulo, SP, Brasil",Diamante
Yuri Guerra,73612840517,"Lago Eloah Rezende, 39, Palmeiras, São Paulo, SP, Brasil",Diamante
Aurora Correia,48107265335,"Parque Marcos Vinicius Jesus, 33, Monte Azul, São Paulo, SP, Brasil",Ouro
Lucca Teixeira,83514790639,"Travessa de Cunha, 470, Santa Branca, São Paulo, SP, Brasil",Bronze
Luiza Novais,30871592630,"Viela de Caldeira, 664, Santa Helena, São Paulo, SP, Brasil",Diamante
Evelyn Castro,58973642146,"Campo Juan Câmara, 3, Nova Granada, São Paulo, SP, Brasil",Prata
Nicole Santos,83570694283,"Trecho Juliana Nogueira, 30, São Gonçalo, São Paulo, SP, Brasil",Diamante
Rebeca das Neves,68104395793,"Núcleo de das Neves, 1, Vila São Dimas, São Paulo, SP, Brasil",Ouro
Arthur Pastor,85237061435,"Parque Natália Fernandes, 59, Nova Granada, São Paulo, SP, Brasil",Ouro
Augusto Cassiano,57143928097,"Praça Pereira, 12, Candelaria, São Paulo, SP, Brasil",Prata
Sra. Isadora Andrade,49602583738,"Setor de Nogueira, 6, São Benedito, São Paulo, SP, Brasil",Diamante
Alice Castro,70421689501,"Jardim Oliveira, 9, Boa União 1ª Seção, São Paulo, SP, Brasil",Bronze
Carolina Mendonça,08329415651,"Estrada Luna Ferreira, 64, São Salvador, São Paulo, SP, Brasil",Diamante
Henrique Martins,52479068102,"Largo Bernardo Barros, 204, Conjunto Lagoa, São Paulo, SP, Brasil",Bronze
Sra. Gabriela Moraes,85703496292,"Quadra de Duarte, 44, Vila Betânia, São Paulo, SP, Brasil",Bronze
Laura Andrade,09485273150,"Feira Sales, 124, Vila Sumaré, São Paulo, SP, Brasil",Básico
Mariah da Mota,93427856038,"Núcleo Lucca Moreira, 4, Vila Nossa Senhora Do Rosário, São Paulo, SP, Brasil",Bronze
Maria Isis Alves,31408596784,"Pátio de Campos, 537, Inconfidência, São Paulo, SP, Brasil",Diamante
Marina Melo,02516743980,"Sítio da Cunha, 402, Santa Lúcia, São Paulo, SP, Brasil",Bronze
Sra. Eduarda da Cruz,82951473079,"Quadra de Vieira, 70, Conjunto Lagoa, São Paulo, SP, Brasil",Diamante
Sofia Gomes,36701849296,"Feira de Souza, 57, Nova Cintra, São Paulo, SP, Brasil",Básico
Dr. José Pedro Silveira,12359048732,"Praia de da Cruz, 92, Jardim Dos Comerciarios, São Paulo, SP, Brasil",Ouro
Diogo Ferreira,59478210360,"Estrada de Pereira, 85, Jardim Vitoria, São Paulo, SP, Brasil",Prata
Cecilia Melo,45867931200,"Rodovia de da Rosa, 733, Ernesto Nascimento, São Paulo, SP, Brasil",Prata
Théo Cavalcante,82796351068,"Estrada de da Cunha, 11, Dom Cabral, São Paulo, SP, Brasil",Básico
Bella da Cunha,03241769887,"Trevo Cavalcante, 73, Novo Ouro Preto, São Paulo, SP, Brasil",Prata
Maria Cecília Fogaça,16950782411,"Favela Hadassa Costa, 32, Santa Isabel, São Paulo, SP, Brasil",Ouro
Clarice Pimenta,98645103710,"Área de Ramos, 28, Nova Gameleira, São Paulo, SP, Brasil",Básico
Lucas Porto,93021645860,"Loteamento de da Mata, 8, Vista Do Sol, São Paulo, SP, Brasil",Básico
Cauê Moraes,48693512773,"Viela Ribeiro, 2, Aparecida, São Paulo, SP, Brasil",Básico
Rodrigo da Rocha,16420853753,"Aeroporto de Vasconcelos, 71, Mirante, São Paulo, SP, Brasil",Ouro
Amanda Dias,21654803707,"Avenida Peixoto, 92, Vila Ouro Minas, São Paulo, SP, Brasil",Ouro
Sra. Maria Luísa Guerra,80741652994,"Esplanada de Borges, 574, Granja Werneck, São Paulo, SP, Brasil",Básico
Nathan Rodrigues,09185276430,"Loteamento Abreu, 62, Tiradentes, São Paulo, SP, Brasil",Básico
Caio Freitas,34725986038,"Largo Macedo, 96, Ribeiro De Abreu, São Paulo, SP, Brasil",Básico
Mariane Moreira,13258470626,"Distrito Andrade, 29, Vila Esplanada, São Paulo, SP, Brasil",Ouro
Vinicius da Mata,94576382128,"Viaduto de Pinto, 68, Flamengo, São Paulo, SP, Brasil",Bronze
Ana Carolina Silveira,65894012767,"Condomínio Emilly Lopes, 138, São Cristóvão, São Paulo, SP, Brasil",Prata
Brenda Aparecida,95021648306,"Aeroporto Ravy Rezende, 35, Alto Barroca, São Paulo, SP, Brasil",Diamante
Rhavi Moura,26457310826,"Trevo de Rios, 89, Lagoa, São Paulo, SP, Brasil",Diamante
Lunna Lopes,92631875095,"Jardim da Costa, 895, Floramar, São Paulo, SP, Brasil",Bronze
Maitê Pinto,25319468024,"Recanto Nicolas Sales, 69, Varzea Da Palma, São Paulo, SP, Brasil",Diamante
Caio Nogueira,73482916519,"Alameda Caio Correia, 39, Gutierrez, São Paulo, SP, Brasil",Básico
Natália Barros,48953627109,"Condomínio Araújo, 52, Vila Aeroporto Jaraguá, São Paulo, SP, Brasil",Ouro
Dra. Maysa das Neves,86721049350,"Alameda de Ribeiro, 285, Mangabeiras, São Paulo, SP, Brasil",Bronze
Isabela Almeida,01497382696,"Lago Liam Cirino, 332, Vila Paris, São Paulo, SP, Brasil",Prata
José Pedro Monteiro,42910635805,"Alameda de Ferreira, 572, Boa Vista, São Paulo, SP, Brasil",Prata
Dra. Lara Vieira,93016475839,"Residencial Nascimento, 9, Lagoinha Leblon, São Paulo, SP, Brasil",Ouro
Erick Marques,57396210895,"Ladeira Clarice Nascimento, 543, São Tomaz, São Paulo, SP, Brasil",Básico
Ana Luiza Cavalcanti,61847359264,"Setor de Correia, 51, Pantanal, São Paulo, SP, Brasil",Ouro
Dr. Théo Aragão,56841792076,"Vale Lívia Moreira, 863, Dom Joaquim, São Paulo, SP, Brasil",Ouro
Aurora Brito,86145370262,"Feira Brito, 266, Lourdes, São Paulo, SP, Brasil",Básico
Hadassa Moura,39701652452,"Travessa de Moreira, 769, Santa Lúcia, São Paulo, SP, Brasil",Prata
Julia Rocha,70521893488,"Viela de Cunha, 3, Floramar, São Paulo, SP, Brasil",Ouro
Olivia Borges,94832507656,"Núcleo Felipe da Conceição, 46, Sagrada Família, São Paulo, SP, Brasil",Prata
Ryan da Paz,28576109476,"Viela Dom Fonseca, 53, São Damião, São Paulo, SP, Brasil",Ouro
Sra. Maria Flor Gonçalves,02798145341,"Distrito Kaique Oliveira, 44, Canadá, São Paulo, SP, Brasil",Prata
Davi Miguel Macedo,86290734547,"Núcleo de Ramos, 2, Santa Inês, São Paulo, SP, Brasil",Ouro
Vicente Aparecida,01762453835,"Feira Pires, 9, Conjunto Celso Machado, São Paulo, SP, Brasil",Diamante
Isabelly Albuquerque,32865140717,"Colônia Vitor Hugo Pinto, 59, Tiradentes, São Paulo, SP, Brasil",Diamante
Ana Cecília Santos,12708543997,"Alameda Ana Carolina Rezende, 23, União, São Paulo, SP, Brasil",Prata
Srta. Isadora Moreira,37560294847,"Loteamento de Silva, 486, Jardim Montanhês, São Paulo, SP, Brasil",Bronze
Pedro Miguel Rezende,43962057161,"Parque Ramos, 50, Santana Do Cafezal, São Paulo, SP, Brasil",Diamante
Mariana Martins,98310256442,"Residencial Melo, 78, Céu Azul, São Paulo, SP, Brasil",Prata
Sara da Mata,20396841589,"Vale Matheus Farias, 22, Graça, São Paulo, SP, Brasil",Prata
Dr. Pedro Miguel Cavalcanti,56832407190,"Colônia Albuquerque, 467, Monte São José, São Paulo, SP, Brasil",Prata
Aylla Leão,04276895111,"Distrito Abreu, 6, Vila Real 2ª Seção, São Paulo, SP, Brasil",Básico
Dr. Gael Henrique da Cruz,57481360235,"Colônia Farias, 94, Canaa, São Paulo, SP, Brasil",Diamante
Liz Borges,18450962315,"Esplanada Lucas Martins, 82, Vila Minaslandia, São Paulo, SP, Brasil",Diamante
Amanda Novais,60182934713,"Parque de da Conceição, 99, Senhor Dos Passos, São Paulo, SP, Brasil",Bronze
Sr. Otávio Porto,06328451717,"Jardim de Ferreira, 32, Santo Antônio, São Paulo, SP, Brasil",Bronze
Ravi Duarte,05748219611,"Rua Luiz Otávio Costa, 69, São Tomaz, São Paulo, SP, Brasil",Prata
Arthur Gabriel Mendonça,67820145307,"Viaduto Borges, 586, Dona Clara, São Paulo, SP, Brasil",Ouro
Paulo Almeida,87590124397,"Rodovia de Sampaio, 11, Bonsucesso, São Paulo, SP, Brasil",Prata
Dr. Noah Garcia,34798062103,"Residencial de Cassiano, 76, Vila Nova Cachoeirinha 3ª Seção, São Paulo, SP, Brasil",Ouro
Liz Melo,85437120923,"Praia Ana Luiza Azevedo, 45, Minas Brasil, São Paulo, SP, Brasil",Diamante
Lucca Cassiano,27160853903,"Via Moreira, 36, Jardim Dos Comerciarios, São Paulo, SP, Brasil",Ouro
Maysa das Neves,80231945779,"Lagoa de da Rosa, 50, Lindéia, São Paulo, SP, Brasil",Ouro
Ana Lívia Araújo,43752918004,"Área Bryan Vieira, 6, Ademar Maldonado, São Paulo, SP, Brasil",Básico
Leonardo Araújo,09814632740,"Conjunto de Almeida, 221, Vila Nova Cachoeirinha 1ª Seção, São Paulo, SP, Brasil",Ouro
Danilo Costa,17608342544,"Colônia de Carvalho, 96, Cenaculo, São Paulo, SP, Brasil",Ouro
Thiago Andrade,83159246728,"Feira Fernando Cassiano, 565, Maria Goretti, São Paulo, SP, Brasil",Ouro
Maria Fernanda Almeida,09275148694,"Recanto José da Mota, 12, Conjunto Paulo Vi, São Paulo, SP, Brasil",Básico
Marcela Souza,53148726090,"Condomínio de Pinto, 75, Vila São Francisco, São Paulo, SP, Brasil",Básico
João Guilherme Vasconcelos,68507213995,"Setor Vitor Hugo Vasconcelos, 14, Vila Piratininga Venda Nova, São Paulo, SP, Brasil",Ouro
Bruno Farias,60415927811,"Residencial Costa, 299, Nossa Senhora Do Rosário, São Paulo, SP, Brasil",Prata
Asafe da Luz,09271356802,"Via Nogueira, 97, Vila Dos Anjos, São Paulo, SP, Brasil",Básico
Lívia Ferreira,51032867426,"Aeroporto de Rios, 89, Nova Cintra, São Paulo, SP, Brasil",Prata
Elisa Cassiano,69785120368,"Aeroporto de da Rosa, 31, Granja De Freitas, São Paulo, SP, Brasil",Básico
Miguel da Cunha,86547391000,"Trevo Ana Vitória da Cunha, 74, Ventosa, São Paulo, SP, Brasil",Ouro
Alícia Monteiro,89372604178,"Chácara de da Mota, 1, Santa Helena, São Paulo, SP, Brasil",Bronze
Maria Julia Nascimento,58743692010,"Alameda de Pereira, 53, Novo Tupi, São Paulo, SP, Brasil",Prata
Henry Brito,27938614564,"Loteamento Sabrina Silveira, 60, Alto Barroca, São Paulo, SP, Brasil",Bronze
Julia Gonçalves,81497650348,"Área Alves, 27, Suzana, São Paulo, SP, Brasil",Ouro
Ana Julia Carvalho,72408513979,"Loteamento Caldeira, 2, Jatobá, São Paulo, SP, Brasil",Bronze
Lorena Pacheco,52093648792,"Pátio da Mata, 86, Lourdes, São Paulo, SP, Brasil",Diamante
Clara Lima,36920174804,"Praia Caroline da Cruz, 37, Vila Minaslandia, São Paulo, SP, Brasil",Básico
Sr. Theo Cassiano,18752906485,"Ladeira Fogaça, 2, Minas Caixa, São Paulo, SP, Brasil",Diamante
Dr. Leonardo Farias,03451678993,"Rua da Luz, 1, Minas Caixa, São Paulo, SP, Brasil",Diamante
Srta. Maria Júlia Martins,72806154308,"Chácara Guilherme Cunha, 36, São Gonçalo, São Paulo, SP, Brasil",Diamante
Juliana Teixeira,52681903424,"Quadra de Ribeiro, 6, São Bernardo, São Paulo, SP, Brasil",Ouro
Liz Marques,02513649842,"Praça Gael Henrique Fonseca, 61, Chácara Leonina, São Paulo, SP, Brasil",Prata
Isaac Pimenta,85762439119,"Alameda Luiz Miguel da Mata, 98, Vila Nova Cachoeirinha 1ª Seção, São Paulo, SP, Brasil",Básico
Leonardo Macedo,21034568906,"Loteamento de da Conceição, 37, São Damião, São Paulo, SP, Brasil",Ouro
Dra. Amanda Sousa,72094615820,"Lagoa Mathias Vargas, 1, Vila Santa Monica 2ª Seção, São Paulo, SP, Brasil",Prata
Felipe Viana,56931802470,"Aeroporto de Machado, 7, Conjunto Califórnia I, São Paulo, SP, Brasil",Diamante
Benício Pacheco,25493681773,"Rua Ana Júlia Macedo, 656, Funcionários, São Paulo, SP, Brasil",Prata
Lara Sampaio,03762845956,"Recanto Correia, 49, Boa União 2ª Seção, São Paulo, SP, Brasil",Diamante
Theodoro Montenegro,29703156886,"Rua Andrade, 2, São Bento, São Paulo, SP, Brasil",Bronze
Cecilia Casa Grande,93520781441,"Travessa Rebeca Costela, 839, Vale Do Jatoba, São Paulo, SP, Brasil",Bronze
Calebe Carvalho,61358924791,"Praia Santos, 28, Vila Rica, São Paulo, SP, Brasil",Básico
Miguel Albuquerque,03581264951,"Campo Maria Luísa Pereira, 44, Miramar, São Paulo, SP, Brasil",Ouro
Srta. Manuella Farias,21430785608,"Quadra de Sales, 7, Esplanada, São Paulo, SP, Brasil",Diamante
Ravi Lucca da Paz,06983715268,"Trevo Leonardo Mendonça, 60, Cidade Jardim, São Paulo, SP, Brasil",Diamante
Oliver Alves,42803957647,"Loteamento João Sales, 359, Zilah Sposito, São Paulo, SP, Brasil",Bronze
Caleb da Cruz,13756904261,"Morro Thiago Macedo, 804, Oeste, São Paulo, SP, Brasil",Diamante
Renan Albuquerque,86514270344,"Ladeira de Costa, 6, Vila Paraíso, São Paulo, SP, Brasil",Diamante
Daniela da Rosa,42605713890,"Campo Rocha, 238, Ernesto Nascimento, São Paulo, SP, Brasil",Básico
Dr. Carlos Eduardo Vargas,29063814704,"Campo Arthur Gabriel Rezende, 4, Conjunto Novo Dom Bosco, São Paulo, SP, Brasil",Ouro
Gabriela Moreira,41279063831,"Fazenda de Pacheco, 70, Maria Helena, São Paulo, SP, Brasil",Diamante
Lucas da Mota,51478206390,"Trevo de Guerra, 7, Flavio De Oliveira, São Paulo, SP, Brasil",Ouro
Nina da Rocha,02749563810,"Parque Luiz Fernando Siqueira, 28, Ambrosina, São Paulo, SP, Brasil",Bronze
Matteo Guerra,42605839729,"Morro de Peixoto, 70, Santa Helena, São Paulo, SP, Brasil",Prata
Ana Julia Costa,57241903897,"Largo Bella Siqueira, 32, Teixeira Dias, São Paulo, SP, Brasil",Básico
Sra. Kamilly Araújo,61783954000,"Vereda de Macedo, 950, Eymard, São Paulo, SP, Brasil",Ouro
Théo Guerra,73140968566,"Condomínio João Pinto, 992, Nova Floresta, São Paulo, SP, Brasil",Ouro
Anthony Gabriel Teixeira,52041389788,"Trecho da Mata, 25, Vila Madre Gertrudes 4ª Seção, São Paulo, SP, Brasil",Prata
Samuel Freitas,40958276102,"Feira Costa, 26, São João Batista, São Paulo, SP, Brasil",Ouro
Enzo Gabriel Ferreira,60843725974,"Lagoa de Sousa, 2, Santa Maria, São Paulo, SP, Brasil",Básico
Maria Cavalcanti,21456983709,"Setor Pacheco, 81, Virgínia, São Paulo, SP, Brasil",Bronze
Luiz Henrique Lima,45167329043,"Quadra Guerra, 55, Salgado Filho, São Paulo, SP, Brasil",Diamante
João Miguel Aparecida,61748095366,"Vereda Heitor Lima, 148, Serrano, São Paulo, SP, Brasil",Prata
Nathan Sousa,68519703259,"Morro Maria Vitória Moraes, 36, Funcionários, São Paulo, SP, Brasil",Básico
Ester Fernandes,20518493741,"Sítio Caldeira, 88, Jardim Atlântico, São Paulo, SP, Brasil",Diamante
