nome_medico,endereco,cidade,estado,pais,cep,latitude,longitude,especialidade,planos_aceitos,bairro
Dr(a). Dra. Júlia Costela,"Trevo Rezende, 596, Rio Branco",São Paulo,SP,Brasil,57217076,-23.504332118293163,-46.70250299172696,Dermatologia,"[""Básico"",""Bronze"",""Prata"",""Ouro"",""Diamante""]",Rio Branco
Dr(a). Emanuel Porto,"Setor Danilo Aragão, 22, Goiania",São Paulo,SP,Brasil,07911927,-23.54807602130313,-46.779776324213884,Cardiologia,"[""Diamante""]",Goiania
Dr(a). Agatha Sousa,"Viela Almeida, 68, Vista Do Sol",São Paulo,SP,Brasil,90106551,-23.543849057150616,-46.618008589496874,Pediatria,"[""Bronze"",""Prata"",""Ouro"",""Diamante""]",Vista Do Sol
Dr(a). Thiago Marques,"Lagoa da Mota, 618, Aarão Reis",São Paulo,SP,Brasil,67910-312,-23.5597202295357,-46.68866671327045,Clínico Geral,"[""Básico"",""Bronze"",""Prata"",""Ouro"",""Diamante""]",Aarão Reis
Dr(a). Brenda Freitas,"Residencial de Ferreira, 39, Vila Paris",São Paulo,SP,Brasil,07682-902,-23.57337264864047,-46.652036131673086,Pediatria,"[""Ouro"",""Diamante""]",Vila Paris
Dr(a). Sr. Antônio Guerra,"Rua Sarah Novais, 798, Santa Rosa",São Paulo,SP,Brasil,11883-390,-23.586437657506718,-46.60513032409429,Pediatria,"[""Ouro"",""Diamante""]",Santa Rosa
Dr(a). Diogo Ferreira,"Lago Stephany da Rocha, 19, Vila Das Oliveiras",São Paulo,SP,Brasil,10953515,-23.552110926313944,-46.64029658115074,Cardiologia,"[""Ouro"",""Diamante""]",Vila Das Oliveiras
Dr(a). Noah Alves,"Avenida Davi Lucas Jesus, 55, Vila Jardim Montanhes",São Paulo,SP,Brasil,53908871,-23.51126348684553,-46.66950105503816,Pediatria,"[""Diamante""]",Vila Jardim Montanhes
Dr(a). Sra. Ana Beatriz Almeida,"Travessa Pereira, 174, Manacas",São Paulo,SP,Brasil,95728275,-23.503113146611994,-46.63333205037629,Pediatria,"[""Prata"",""Ouro"",""Diamante""]",Manacas
Dr(a). Maya Cassiano,"Aeroporto de Vasconcelos, 774, Solimoes",São Paulo,SP,Brasil,02455349,-23.52008405039997,-46.685874508143385,Dermatologia,"[""Diamante""]",Solimoes
Dr(a). Rafael da Cruz,"Vila Sousa, 2, São Bento",São Paulo,SP,Brasil,45907-424,-23.598389313738604,-46.707797074153774,Dermatologia,"[""Diamante""]",São Bento
Dr(a). Asafe Nunes,"Residencial Benicio Nascimento, 64, Vila Jardim Alvorada",São Paulo,SP,Brasil,07470153,-23.593948106310766,-46.70186684960493,Cardiologia,"[""Ouro"",""Diamante""]",Vila Jardim Alvorada
Dr(a). Nicole Teixeira,"Viela Pacheco, 427, Alípio De Melo",São Paulo,SP,Brasil,63612414,-23.573075919244165,-46.623605170038495,Clínico Geral,"[""Básico"",""Bronze"",""Prata"",""Ouro"",""Diamante""]",Alípio De Melo
Dr(a). Julia Rodrigues,"Quadra Kevin Nascimento, 20, Pedreira Padro Lopes",São Paulo,SP,Brasil,82976663,-23.556685263044454,-46.600895479482524,Ortopedia,"[""Diamante""]",Pedreira Padro Lopes
Dr(a). Emanuel Fernandes,"Pátio de Peixoto, 122, Vila Pinho",São Paulo,SP,Brasil,16547665,-23.512194956906182,-46.77799899932303,Pediatria,"[""Bronze"",""Prata"",""Ouro"",""Diamante""]",Vila Pinho
Dr(a). Yago Machado,"Parque Azevedo, 10, Vila Trinta E Um De Março",São Paulo,SP,Brasil,76301-458,-23.5158170582358,-46.68550153259908,Pediatria,"[""Diamante""]",Vila Trinta E Um De Março
Dr(a). Kevin Farias,"Núcleo de Leão, 16, Universitário",São Paulo,SP,Brasil,54571992,-23.520656384066463,-46.66987008617701,Clínico Geral,"[""Ouro"",""Diamante""]",Universitário
Dr(a). Igor Teixeira,"Travessa Castro, 7, Santa Lúcia",São Paulo,SP,Brasil,91630434,-23.564388986311837,-46.66642993917607,Dermatologia,"[""Bronze"",""Prata"",""Ouro"",""Diamante""]",Santa Lúcia
Dr(a). Laís Silva,"Vereda Luiz Henrique Teixeira, 15, Beira Linha",São Paulo,SP,Brasil,66410348,-23.510160991913775,-46.67989490032353,Cardiologia,"[""Diamante""]",Beira Linha
Dr(a). Sra. Lunna Alves,"Conjunto de da Conceição, 308, Tupi A",São Paulo,SP,Brasil,18942333,-23.558936631155994,-46.682194799713805,Cardiologia,"[""Prata"",""Ouro"",""Diamante""]",Tupi A
Dr(a). Mateus Gomes,"Jardim de Caldeira, 180, Manacas",São Paulo,SP,Brasil,11371-072,-23.558637822733377,-46.74513606309652,Ortopedia,"[""Prata"",""Ouro"",""Diamante""]",Manacas
Dr(a). Dr. Gael Castro,"Alameda Esther Farias, 799, São Jorge 3ª Seção",São Paulo,SP,Brasil,66572-990,-23.513658251268645,-46.67205658126536,Cardiologia,"[""Diamante""]",São Jorge 3ª Seção
Dr(a). Eloah das Neves,"Estrada João Guilherme Castro, 413, Marieta 3ª Seção",São Paulo,SP,Brasil,63148194,-23.56044239887051,-46.71667943881309,Dermatologia,"[""Ouro"",""Diamante""]",Marieta 3ª Seção
Dr(a). Sarah Dias,"Vale de Pastor, 7, Jardim Atlântico",São Paulo,SP,Brasil,63631-601,-23.563726295596133,-46.779304888470996,Dermatologia,"[""Diamante""]",Jardim Atlântico
Dr(a). Luiza Caldeira,"Vila Alice Gomes, 40, Vila Barragem Santa Lúcia",São Paulo,SP,Brasil,54229-031,-23.58940971177775,-46.71075800555944,Clínico Geral,"[""Básico"",""Bronze"",""Prata"",""Ouro"",""Diamante""]",Vila Barragem Santa Lúcia
Dr(a). Davi Luiz Teixeira,"Pátio Costela, 82, Unidas",São Paulo,SP,Brasil,03269-651,-23.574826672335348,-46.74353465191749,Dermatologia,"[""Ouro"",""Diamante""]",Unidas
Dr(a). Henry Casa Grande,"Via de Novais, 43, Saudade",São Paulo,SP,Brasil,91679-012,-23.500005607539908,-46.72738990853094,Pediatria,"[""Prata"",""Ouro"",""Diamante""]",Saudade
Dr(a). Maria Liz Santos,"Vereda Fogaça, 26, Nova Cachoeirinha",São Paulo,SP,Brasil,64364-211,-23.598031895498455,-46.78922369693306,Pediatria,"[""Prata"",""Ouro"",""Diamante""]",Nova Cachoeirinha
Dr(a). Theodoro Ramos,"Recanto Novaes, 4, Vila Suzana Segunda Seção",São Paulo,SP,Brasil,04226-231,-23.52289035761243,-46.78967080619577,Pediatria,"[""Ouro"",""Diamante""]",Vila Suzana Segunda Seção
Dr(a). Dr. Diego Moraes,"Alameda Mendonça, 91, Baleia",São Paulo,SP,Brasil,23275-991,-23.589184592280183,-46.60300161510326,Clínico Geral,"[""Diamante""]",Baleia
Dr(a). Thiago Carvalho,"Distrito de da Cruz, 637, Buritis",São Paulo,SP,Brasil,60644588,-23.570673587264096,-46.60037814601449,Dermatologia,"[""Bronze"",""Prata"",""Ouro"",""Diamante""]",Buritis
Dr(a). Sr. Diego Costela,"Loteamento Câmara, 22, São Jorge 1ª Seção",São Paulo,SP,Brasil,35150386,-23.562750736258106,-46.6262670099931,Clínico Geral,"[""Bronze"",""Prata"",""Ouro"",""Diamante""]",São Jorge 1ª Seção
Dr(a). Kamilly Jesus,"Largo Viana, 71, Conjunto Taquaril",São Paulo,SP,Brasil,91819406,-23.51715512739924,-46.63082148127044,Pediatria,"[""Ouro"",""Diamante""]",Conjunto Taquaril
Dr(a). Gabriela Barros,"Lago de Fonseca, 801, Santa Tereza",São Paulo,SP,Brasil,98661537,-23.581660333869483,-46.62752921329797,Clínico Geral,"[""Ouro"",""Diamante""]",Santa Tereza
Dr(a). Maria Isis Lopes,"Estrada de Andrade, 937, Vila Dos Anjos",São Paulo,SP,Brasil,01382849,-23.55368334866367,-46.6931478638037,Ortopedia,"[""Básico"",""Bronze"",""Prata"",""Ouro"",""Diamante""]",Vila Dos Anjos
Dr(a). Antony Fernandes,"Trecho Sabrina Casa Grande, 44, Lajedo",São Paulo,SP,Brasil,32671-446,-23.501552141748583,-46.63718923132369,Cardiologia,"[""Prata"",""Ouro"",""Diamante""]",Lajedo
Dr(a). Valentim Sá,"Estrada da Rocha, 766, Aparecida 7ª Seção",São Paulo,SP,Brasil,88659112,-23.56436571658154,-46.76020698711227,Clínico Geral,"[""Diamante""]",Aparecida 7ª Seção
Dr(a). Sr. Bento Fernandes,"Núcleo Gael Henrique Silveira, 6, Vila Santa Monica 2ª Seção",São Paulo,SP,Brasil,37933-739,-23.581014596188044,-46.69751751374778,Cardiologia,"[""Bronze"",""Prata"",""Ouro"",""Diamante""]",Vila Santa Monica 2ª Seção
Dr(a). Ana Vitória Melo,"Largo de Gonçalves, 91, Vila São Geraldo",São Paulo,SP,Brasil,34648834,-23.561107501024793,-46.696803103346596,Pediatria,"[""Bronze"",""Prata"",""Ouro"",""Diamante""]",Vila São Geraldo
Dr(a). Dr. José Cassiano,"Estrada Rodrigues, 91, Granja De Freitas",São Paulo,SP,Brasil,99273-051,-23.512266318023027,-46.796078008005885,Ortopedia,"[""Bronze"",""Prata"",""Ouro"",""Diamante""]",Granja De Freitas
Dr(a). Sra. Fernanda Abreu,"Morro Sophie Ribeiro, 3, Conjunto Santa Maria",São Paulo,SP,Brasil,62700-733,-23.551150888972327,-46.73212903766136,Cardiologia,"[""Ouro"",""Diamante""]",Conjunto Santa Maria
Dr(a). Bianca Pimenta,"Via de Melo, 1, Piratininga",São Paulo,SP,Brasil,60373888,-23.570100632174437,-46.652145484233344,Dermatologia,"[""Diamante""]",Piratininga
Dr(a). Eloah Andrade,"Passarela Duarte, 90, Trevo",São Paulo,SP,Brasil,58710-731,-23.57223951139167,-46.605094721197965,Cardiologia,"[""Diamante""]",Trevo
Dr(a). Luiz Gustavo Câmara,"Conjunto de Casa Grande, 635, Caiçara - Adelaide",São Paulo,SP,Brasil,87241988,-23.574980519183427,-46.69793110382052,Clínico Geral,"[""Ouro"",""Diamante""]",Caiçara - Adelaide
Dr(a). Yasmin Moura,"Residencial Fernandes, 513, Conjunto Floramar",São Paulo,SP,Brasil,50429185,-23.51465670756062,-46.74801376755725,Dermatologia,"[""Prata"",""Ouro"",""Diamante""]",Conjunto Floramar
Dr(a). Sra. Maria Helena Teixeira,"Condomínio Jesus, 99, Lourdes",São Paulo,SP,Brasil,87999-411,-23.580239761828455,-46.79734508552504,Cardiologia,"[""Bronze"",""Prata"",""Ouro"",""Diamante""]",Lourdes
Dr(a). Lunna Garcia,"Chácara Cardoso, 36, Vila Paquetá",São Paulo,SP,Brasil,53018-689,-23.59011155549293,-46.680669901225365,Clínico Geral,"[""Diamante""]",Vila Paquetá
Dr(a). Gustavo Henrique Garcia,"Setor Camila Santos, 19, Olaria",São Paulo,SP,Brasil,95675467,-23.575058271368345,-46.77114505879564,Cardiologia,"[""Básico"",""Bronze"",""Prata"",""Ouro"",""Diamante""]",Olaria
Dr(a). Samuel Pires,"Distrito de Aparecida, 3, Mirante",São Paulo,SP,Brasil,68433225,-23.57955753598221,-46.716339986027556,Dermatologia,"[""Básico"",""Bronze"",""Prata"",""Ouro"",""Diamante""]",Mirante
Dr(a). Luara Dias,"Recanto de Montenegro, 14, Vila Bandeirantes",São Paulo,SP,Brasil,57440-755,-23.56081488379302,-46.620168649742226,Pediatria,"[""Básico"",""Bronze"",""Prata"",""Ouro"",""Diamante""]",Vila Bandeirantes
Dr(a). Otto das Neves,"Praia de Teixeira, 233, Horto Florestal",São Paulo,SP,Brasil,50231562,-23.530179045509005,-46.73563554195757,Dermatologia,"[""Básico"",""Bronze"",""Prata"",""Ouro"",""Diamante""]",Horto Florestal
Dr(a). Laura Correia,"Trevo de Peixoto, 61, Vila Madre Gertrudes 4ª Seção",São Paulo,SP,Brasil,16954952,-23.540227793375447,-46.66660861413414,Clínico Geral,"[""Ouro"",""Diamante""]",Vila Madre Gertrudes 4ª Seção
Dr(a). Ana Liz Sampaio,"Largo de Costa, 12, Leonina",São Paulo,SP,Brasil,09210-703,-23.591565400953986,-46.60408184818107,Ortopedia,"[""Ouro"",""Diamante""]",Leonina
Dr(a). Maria Júlia Lopes,"Morro Sousa, 52, Xodo-Marize",São Paulo,SP,Brasil,75568559,-23.51052537892884,-46.76988909377274,Clínico Geral,"[""Ouro"",""Diamante""]",Xodo-Marize
Dr(a). Manuella Fonseca,"Travessa Santos, 27, Vila Primeiro De Maio",São Paulo,SP,Brasil,14420354,-23.57179941084356,-46.71811582704278,Pediatria,"[""Bronze"",""Prata"",""Ouro"",""Diamante""]",Vila Primeiro De Maio
Dr(a). Clara Cardoso,"Estação Davi Miguel Andrade, 15, Vila Nova",São Paulo,SP,Brasil,22189-812,-23.584972642744106,-46.6742463146091,Dermatologia,"[""Ouro"",""Diamante""]",Vila Nova
Dr(a). Daniela Viana,"Pátio Pacheco, 23, Fazendinha",São Paulo,SP,Brasil,66079-461,-23.536508837199126,-46.64809803207562,Ortopedia,"[""Básico"",""Bronze"",""Prata"",""Ouro"",""Diamante""]",Fazendinha
Dr(a). Sra. Ágatha Casa Grande,"Quadra de Fernandes, 298, Vila Santa Rosa",São Paulo,SP,Brasil,38569284,-23.52406334055611,-46.6856024541455,Dermatologia,"[""Básico"",""Bronze"",""Prata"",""Ouro"",""Diamante""]",Vila Santa Rosa
